episode,step,reward,length,running_avg,epsilon
608,95988,651.0,250,198.9,0.1361
609,96192,245.86,204,200.98,0.1343
610,96395,259.15,203,203.54,0.1325
611,96645,376.14,250,204.16,0.1302
612,96895,799.61,250,212.07,0.128
613,97128,270.44,233,214.37,0.1259
614,97378,367.95,250,216.58,0.1236
615,97506,58.38,128,216.06,0.1225
616,97756,609.57,250,219.9,0.1202
617,97961,332.72,205,222.84,0.1184
618,98206,330.57,245,222.42,0.1162
619,98456,746.72,250,230.03,0.1139
620,98665,326.36,209,230.09,0.112
621,98854,231.65,189,231.21,0.1103
622,99104,606.67,250,237.06,0.1081
623,99354,374.9,250,240.61,0.1058
624,99488,225.77,134,242.69,0.1046
625,99738,506.66,250,247.81,0.1024
626,99988,650.84,250,251.91,0.1001
627,100238,718.18,250,258.05,0.1
628,100433,273.61,195,260.23,0.1
629,100533,96.76,100,260.92,0.1
630,100767,814.2,234,268.4,0.1
631,100897,81.15,130,268.21,0.1
632,100968,147.68,71,266.47,0.1
633,101051,98.19,83,266.75,0.1
634,101174,64.73,123,266.68,0.1
635,101296,25.23,122,264.15,0.1
636,101546,372.67,250,267.74,0.1
637,101796,403.14,250,269.46,0.1
638,102046,279.6,250,271.82,0.1
639,102296,753.24,250,276.58,0.1
640,102494,225.73,198,277.2,0.1
641,102689,432.05,195,279.79,0.1
642,102939,784.35,250,286.55,0.1
643,103076,100.3,137,287.39,0.1
644,103291,321.0,215,289.79,0.1
645,103480,753.79,189,296.07,0.1
646,103612,293.46,132,295.3,0.1
647,103862,748.48,250,302.35,0.1
648,104112,603.97,250,308.13,0.1
649,104241,93.6,129,307.43,0.1
650,104317,111.31,76,306.42,0.1
651,104437,63.73,120,304.1,0.1
652,104687,776.81,250,308.76,0.1
653,104926,245.22,239,307.26,0.1
654,105176,288.94,250,309.31,0.1
655,105426,390.61,250,311.02,0.1
656,105561,105.7,135,309.44,0.1
657,105791,372.25,230,310.22,0.1
