device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep  1300 | step   257385 | reward   757.14 | avg100   568.92 | eps 0.100 | q  431.46 |   59.1 steps/s | 72.5 min
ep  1310 | step   259885 | reward   386.49 | avg100   571.13 | eps 0.100 | q  418.56 |   59.1 steps/s | 73.3 min
ep  1320 | step   262308 | reward   722.53 | avg100   577.69 | eps 0.100 | q  419.77 |   59.1 steps/s | 74.0 min
ep  1330 | step   264738 | reward   170.11 | avg100   581.00 | eps 0.100 | q  435.80 |   59.1 steps/s | 74.7 min
ep  1340 | step   267091 | reward   654.21 | avg100   555.27 | eps 0.100 | q  462.87 |   59.1 steps/s | 75.4 min
ep  1350 | step   269569 | reward   775.46 | avg100   568.30 | eps 0.100 | q  460.33 |   59.1 steps/s | 76.1 min
ep  1360 | step   271860 | reward   770.18 | avg100   565.52 | eps 0.100 | q  437.23 |   59.1 steps/s | 76.7 min
ep  1370 | step   274228 | reward   496.97 | avg100   568.14 | eps 0.100 | q  463.45 |   59.1 steps/s | 77.4 min
ep  1380 | step   276610 | reward   839.29 | avg100   571.43 | eps 0.100 | q  418.91 |   59.0 steps/s | 78.1 min
ep  1390 | step   278935 | reward   653.62 | avg100   571.49 | eps 0.100 | q  390.57 |   59.0 steps/s | 78.8 min
ep  1400 | step   281378 | reward   768.61 | avg100   575.19 | eps 0.100 | q  420.91 |   59.0 steps/s | 79.5 min
ep  1410 | step   283878 | reward   745.02 | avg100   588.15 | eps 0.100 | q  434.76 |   59.0 steps/s | 80.2 min
ep  1420 | step   286361 | reward   849.02 | avg100   592.61 | eps 0.100 | q  461.58 |   59.0 steps/s | 80.9 min
ep  1430 | step   288811 | reward   716.25 | avg100   601.46 | eps 0.100 | q  443.83 |   58.9 steps/s | 81.7 min
ep  1440 | step   291306 | reward   790.00 | avg100   616.72 | eps 0.100 | q  498.68 |   58.9 steps/s | 82.4 min
ep  1450 | step   293787 | reward   419.88 | avg100   614.03 | eps 0.100 | q  448.23 |   57.7 steps/s | 84.9 min
ep  1460 | step   296204 | reward   397.16 | avg100   623.30 | eps 0.100 | q  443.14 |   57.7 steps/s | 85.6 min
