episode,step,reward,length,running_avg,epsilon
596,98869,146.84,250,280.29,0.1102
597,99119,583.17,250,285.3,0.1079
598,99369,334.64,250,285.99,0.1057
599,99619,516.72,250,291.05,0.1034
600,99849,242.49,230,291.48,0.1014
601,100099,468.44,250,295.52,0.1
602,100349,327.24,250,297.01,0.1
603,100599,289.24,250,298.16,0.1
604,100849,485.81,250,300.49,0.1
605,101099,491.27,250,303.12,0.1
606,101349,496.09,250,306.38,0.1
607,101599,345.86,250,307.12,0.1
608,101849,510.44,250,310.07,0.1
609,102099,715.5,250,314.58,0.1
610,102349,433.33,250,317.85,0.1
611,102599,468.63,250,321.05,0.1
612,102849,506.18,250,324.52,0.1
613,103099,460.89,250,327.69,0.1
614,103349,424.06,250,330.52,0.1
615,103599,367.92,250,332.76,0.1
616,103776,222.93,177,333.32,0.1
617,104026,625.75,250,337.89,0.1
618,104269,330.62,243,338.99,0.1
619,104477,332.86,208,340.15,0.1
620,104727,637.18,250,344.27,0.1
621,104977,318.12,250,346.02,0.1
622,105227,696.67,250,351.6,0.1
623,105440,342.54,213,353.31,0.1
624,105690,364.17,250,354.12,0.1
625,105940,612.87,250,359.75,0.1
626,106190,455.56,250,362.23,0.1
627,106440,641.26,250,365.18,0.1
628,106690,563.93,250,370.03,0.1
629,106940,492.83,250,371.61,0.1
630,107190,591.49,250,375.53,0.1
631,107440,543.64,250,379.22,0.1
632,107690,169.53,250,379.39,0.1
633,107836,107.73,146,378.67,0.1
634,108086,464.94,250,380.73,0.1
635,108336,497.4,250,382.15,0.1
636,108586,629.9,250,385.64,0.1
637,108836,386.84,250,386.81,0.1
638,109086,694.05,250,391.07,0.1
639,109336,640.61,250,395.18,0.1
640,109503,266.53,167,396.1,0.1
641,109753,539.46,250,398.35,0.1
642,110003,672.11,250,401.7,0.1
643,110253,600.76,250,403.31,0.1
644,110503,342.31,250,402.93,0.1
645,110753,336.36,250,404.57,0.1
646,111003,596.08,250,407.73,0.1
647,111253,691.67,250,411.3,0.1
648,111503,751.99,250,417.32,0.1
649,111753,641.08,250,420.35,0.1
650,112003,566.62,250,423.46,0.1
651,112204,136.27,201,423.16,0.1
652,112454,523.19,250,428.06,0.1
653,112704,368.16,250,429.18,0.1
654,112948,317.49,244,429.33,0.1
655,113198,459.44,250,430.79,0.1
656,113338,145.52,140,429.17,0.1
657,113588,398.25,250,429.66,0.1
658,113838,351.75,250,432.21,0.1
659,114060,286.63,222,434.43,0.1
660,114310,567.88,250,436.8,0.1
661,114560,492.98,250,438.18,0.1
662,114810,283.52,250,437.0,0.1
663,114993,206.11,183,435.36,0.1
664,115243,354.21,250,433.29,0.1
665,115493,808.77,250,438.48,0.1
666,115743,796.91,250,438.94,0.1
667,115876,126.17,133,436.57,0.1
668,116126,403.03,250,435.17,0.1
669,116340,294.29,214,437.24,0.1
670,116590,805.8,250,441.2,0.1
671,116840,680.58,250,442.56,0.1
672,117090,840.3,250,447.03,0.1
673,117340,546.86,250,447.89,0.1
674,117590,747.97,250,451.59,0.1
