update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
232,463536,0.02095,3.44547,-0.55202,0.056855,0.5535,0.73,0.0007682
233,465534,0.0135,3.39172,-0.52606,0.058166,0.5232,0.6653,0.0007672
234,467532,0.01593,2.48909,-0.50356,8.3076744784797085e+34,0.5501,0.7457,0.0007662
235,469530,0.01049,3.19877,-0.61915,0.045578,0.5657,0.6798,0.0007652
236,471528,0.00366,2.83017,-0.457,3.3230697913918834e+34,0.4669,0.7667,0.0007642
237,473526,0.01333,3.20592,-0.51747,0.039196,0.5008,0.7296,0.0007632
238,475524,0.00314,2.87268,-0.51577,1.6615348956959417e+34,0.5264,0.6866,0.0007622
239,477522,0.00496,2.69859,-0.45335,0.039397,0.4676,0.74,0.0007612
240,479520,0.01083,2.89423,-0.40511,0.038777,0.4918,0.7551,0.0007602
241,481518,0.00807,2.54627,-0.42709,0.045314,0.5085,0.7072,0.0007592
242,483516,0.00271,2.98087,-0.47567,0.042832,0.4825,0.6926,0.0007582
243,485514,0.01458,2.43785,-0.50999,0.040594,0.5574,0.6684,0.0007572
244,487512,0.01311,2.82794,-0.46533,0.03805,0.454,0.7109,0.0007562
245,489510,0.01665,2.94481,-0.55932,3.3230697913918834e+34,0.5487,0.7055,0.0007552
246,491508,0.01046,2.78405,-0.54893,0.042478,0.5267,0.7345,0.0007542
247,493506,0.00709,2.69848,-0.52873,0.047524,0.5188,0.7133,0.0007532
248,495504,0.01038,2.55657,-0.5292,0.037004,0.4829,0.7312,0.0007522
249,497502,0.00637,2.6041,-0.54179,0.049521,0.5175,0.69,0.0007512
250,499500,0.00557,2.62962,-0.57776,0.045909,0.5138,0.7307,0.0007502
251,501498,0.01226,2.82674,-0.61722,0.054751,0.5995,0.6501,0.0007493
252,503496,0.01685,2.75419,-0.69554,0.038299,0.596,0.5344,0.0007483
253,505494,0.01198,2.51236,-0.62754,0.028594,0.5502,0.716,0.0007473
254,507492,0.00743,4.08502,-0.68701,0.042606,0.5176,0.6825,0.0007463
255,509490,0.01576,3.63336,-0.63166,0.055474,0.5658,0.6821,0.0007453
256,511488,0.00812,3.77763,-0.48226,0.037557,0.4251,0.7311,0.0007443
257,513486,0.0128,2.71857,-0.55094,9.372760950079671e+34,0.5372,0.7007,0.0007433
258,515484,0.00964,2.98331,-0.55311,0.036009,0.5079,0.7182,0.0007423
259,517482,0.01352,3.39273,-0.55563,0.042038,0.5052,0.6923,0.0007413
260,519480,0.01434,3.64599,-0.56657,0.039975,0.5304,0.6348,0.0007403
261,521478,0.01063,3.10008,-0.56583,1.6615348956959417e+34,0.5114,0.7286,0.0007393
262,523476,0.01093,4.11813,-0.65346,0.038383,0.4807,0.6471,0.0007383
263,525474,0.01893,3.82284,-0.59364,1.6615348956959417e+34,0.5065,0.6908,0.0007373
264,527472,0.01059,3.95796,-0.57932,0.034376,0.4691,0.6883,0.0007363
265,529470,0.00905,3.98259,-0.42726,0.043029,0.4259,0.6785,0.0007353
266,531468,0.01642,3.90728,-0.4451,0.044391,0.4136,0.6802,0.0007343
267,533466,0.00762,3.57427,-0.43284,0.029533,0.3906,0.7084,0.0007333
268,535464,0.00484,4.0138,-0.46284,0.026272,0.3981,0.6777,0.0007323
269,537462,0.00774,3.86469,-0.57462,0.026354,0.4422,0.6582,0.0007313
270,539460,0.01134,3.09651,-0.57161,0.031081,0.4877,0.6813,0.0007303
271,541458,0.0099,3.89397,-0.60053,0.040995,0.5053,0.6795,0.0007293
272,543456,0.01175,4.22173,-0.61924,0.052305,0.458,0.6671,0.0007283
273,545454,0.00862,3.8903,-0.63861,0.036142,0.4843,0.576,0.0007273
274,547452,0.01079,3.8433,-0.57345,0.025406,0.4576,0.6638,0.0007263
275,549450,0.01492,3.62446,-0.5401,0.041127,0.4854,0.7091,0.0007253
276,551448,0.0138,3.23278,-0.53624,0.031608,0.4466,0.6811,0.0007243
277,553446,0.01166,3.51229,-0.56536,0.031386,0.4864,0.6211,0.0007233
278,555444,0.01289,3.42231,-0.52059,0.027224,0.475,0.6692,0.0007223
279,557442,0.00531,3.46633,-0.47746,0.02927,0.4096,0.7268,0.0007213
280,559440,0.01804,3.99871,-0.51979,0.032212,0.4342,0.6573,0.0007203
281,561438,0.0087,4.04088,-0.52999,0.024105,0.3985,0.6783,0.0007193
282,563436,0.01074,3.73186,-0.56869,9.96920937417565e+34,0.4564,0.668,0.0007183
283,565434,0.0186,4.77065,-0.65886,0.040903,0.5181,0.5968,0.0007173
284,567432,0.02089,5.00449,-0.66438,0.034114,0.4827,0.64,0.0007163
285,569430,0.01516,4.47302,-0.60625,0.037886,0.4893,0.6772,0.0007153
286,571428,0.0187,4.84749,-0.64133,0.034793,0.4967,0.6416,0.0007143
287,573426,0.01713,4.77214,-0.57575,0.056034,0.4571,0.6461,0.0007133
