episode,step,reward,length,running_avg
493,51918,-4.57,112,-3.7
494,52152,-4.39,101,-3.71
495,52308,12.63,125,-3.16
496,52320,30.27,125,-2.82
497,52350,29.55,125,-2.53
498,52428,-32.22,100,-2.81
499,52584,-3.39,111,-2.79
500,52758,-5.8,101,-2.79
501,52908,-10.6,100,-2.85
502,52968,-3.55,103,-2.85
503,52980,-0.73,110,-2.63
504,53034,-9.88,101,-2.68
505,53184,-27.74,100,-2.89
506,53508,6.16,125,-2.86
507,53580,-33.56,100,-3.16
508,53580,-5.14,112,-3.17
509,53682,0.21,119,-2.91
510,53706,-2.96,112,-2.87
511,53784,-43.64,100,-3.26
512,54114,-8.29,101,-3.19
513,54180,-24.44,100,-3.41
514,54180,-12.48,100,-3.64
515,54330,-3.93,108,-3.53
516,54384,-15.59,100,-3.43
517,54390,6.7,114,-3.35
518,54786,-2.96,112,-3.37
519,54786,-6.58,101,-3.42
520,54846,-1.53,111,-3.39
521,54984,-11.68,100,-3.48
522,54990,-2.68,110,-3.44
523,55140,32.35,125,-3.11
524,55476,-1.09,115,-3.06
525,55536,19.35,125,-2.84
526,55566,1.38,120,-2.77
527,55608,-2.69,103,-2.8
528,55668,6.54,114,-2.69
529,55890,1.85,125,-2.23
530,56076,-44.05,100,-2.65
531,56142,-9.61,101,-2.75
532,56184,-4.11,103,-2.74
533,56268,-18.31,100,-2.83
534,56310,-1.35,117,-2.75
535,56490,-44.29,100,-3.15
536,56790,-6.73,101,-3.67
537,56826,-0.74,125,-3.67
538,56844,2.02,117,-3.55
539,56928,-2.69,103,-3.69
540,57018,-0.71,125,-3.52
541,57096,-4.64,101,-3.5
542,57444,0.71,109,-3.36
543,57528,1.99,114,-3.32
544,57528,-1.01,117,-3.32
545,57558,-1.56,105,-2.89
546,57714,-2.4,103,-2.78
547,57768,15.02,125,-2.58
548,58128,-16.03,100,-2.69
549,58140,-4.28,116,-2.68
550,58212,-1.29,109,-2.62
551,58272,6.43,124,-2.46
552,58314,-14.3,100,-2.52
553,58374,-7.18,101,-2.54
554,58782,-0.24,109,-2.52
555,58812,-14.17,100,-2.65
556,58854,-0.28,119,-2.62
557,58920,-9.15,101,-2.64
558,58944,2.71,112,-2.57
559,59124,33.09,125,-2.53
560,59394,-1.01,102,-2.44
561,59412,-44.03,100,-3.12
562,59466,-2.51,102,-3.05
563,59526,-5.56,101,-2.97
564,59544,-47.85,100,-3.45
565,59730,-4.14,101,-3.41
566,60030,-6.18,103,-3.48
567,60036,-5.0,107,-3.34
568,60150,0.57,114,-3.39
569,60210,0.67,114,-3.45
570,60294,54.64,125,-2.84
571,60378,-5.86,108,-2.7
572,60690,-0.09,109,-2.75
573,60714,-2.46,114,-3.07
574,60750,-12.15,100,-3.93
575,60810,-20.68,100,-4.14
576,60906,-1.52,102,-3.98
577,61098,-0.06,120,-3.84
578,61314,-15.37,100,-3.96
579,61320,-1.6,105,-3.86
580,61356,-6.86,101,-3.88
581,61506,-2.5,116,-3.72
582,61506,-38.04,100,-4.07
583,61698,-25.34,100,-4.59
584,61932,-2.74,102,-4.57
585,61962,-9.6,101,-4.76
586,61980,-1.68,111,-4.92
587,62148,-2.54,107,-5.33
588,62256,19.12,125,-5.09
589,62298,-36.52,100,-5.45
590,62562,-12.14,100,-5.54
591,62580,-13.12,100,-5.2
592,62604,2.84,112,-5.32
593,62748,-18.78,100,-5.46
594,62904,-7.85,101,-5.49
595,62970,8.5,119,-5.53
596,63168,-8.19,101,-5.92
597,63204,-16.24,100,-6.38
598,63252,-6.27,112,-6.12
599,63348,-39.87,100,-6.48
600,63534,-1.22,105,-6.44
601,63654,-4.11,114,-6.37
602,63768,-10.16,100,-6.44
603,63852,-14.03,100,-6.57
604,63954,24.11,125,-6.23
605,64098,25.0,125,-5.7
606,64284,7.38,125,-5.69
607,64404,3.12,125,-5.32
608,64512,-1.79,110,-5.29
609,64518,53.56,125,-4.76
610,64644,3.71,115,-4.69
611,64740,-1.98,107,-4.27
612,64884,-24.28,100,-4.43
613,65004,-32.05,100,-4.51
614,65130,-2.83,102,-4.41
615,65262,28.57,125,-4.09
616,65286,-3.51,107,-3.97
617,65382,-5.47,107,-4.09
618,65634,43.38,125,-3.63
619,65712,4.86,118,-3.51
620,65832,5.57,117,-3.44
621,65892,-4.14,101,-3.36
622,65952,0.31,115,-3.33
623,65982,-18.24,100,-3.84
624,66270,-0.08,106,-3.83
625,66396,-3.54,114,-4.06
626,66438,-8.24,101,-4.16
627,66582,-1.53,105,-4.14
628,66642,31.03,125,-3.9
629,66684,4.76,117,-3.87
630,66870,-42.62,100,-3.86
631,67038,-12.55,100,-3.88
632,67146,41.18,125,-3.43
633,67242,-1.36,110,-3.26
634,67284,-2.92,107,-3.28
635,67332,-1.59,108,-2.85
636,67614,1.13,124,-2.77
637,67704,-1.39,111,-2.78
638,67896,17.65,125,-2.62
639,67908,-3.09,111,-2.63
640,67932,-41.54,100,-3.04
641,68034,40.07,125,-2.59
642,68214,-22.68,100,-2.82
643,68454,9.54,125,-2.75
644,68634,-12.94,100,-2.87
645,68646,11.11,125,-2.74
646,68658,56.13,125,-2.15
647,68682,39.68,125,-1.91
648,68904,-2.78,115,-1.77
649,69114,-3.36,110,-1.77
650,69240,-4.61,101,-1.8
651,69312,-4.62,111,-1.91
652,69354,-2.15,112,-1.79
653,69408,33.99,125,-1.38
654,69546,-4.79,107,-1.42
655,69714,-24.44,100,-1.52
656,69894,-1.49,109,-1.54
657,69918,-4.46,101,-1.49
658,70002,-3.89,108,-1.56
659,70008,-24.44,100,-2.13
660,70152,-5.14,101,-2.17
661,70314,-33.9,100,-2.07
662,70548,-2.62,105,-2.07
663,70632,-4.0,105,-2.06
664,70644,71.0,125,-0.87
665,70758,22.87,125,-0.6
666,70902,42.34,125,-0.11
667,70998,-3.48,114,-0.1
668,71262,3.05,119,-0.07
669,71364,-7.78,101,-0.16
670,71382,18.42,125,-0.52
671,71394,42.86,125,-0.03
672,71508,-4.94,101,-0.08
673,71616,-4.98,103,-0.11
674,71868,-6.28,101,-0.05
675,71970,-6.61,101,0.09
676,72000,-7.41,101,0.03
677,72042,-2.59,110,0.01
678,72150,-2.82,107,0.14
679,72234,-2.93,103,0.12
680,72576,-3.88,101,0.15
681,72600,-23.82,100,-0.06
682,72618,50.35,125,0.82
683,72672,-1.36,105,1.06
684,72900,35.85,125,1.45
685,72918,-0.95,114,1.53
686,73266,-2.51,108,1.53
687,73272,-10.38,100,1.45
688,73314,1.02,119,1.27
689,73326,15.85,125,1.79
690,73518,-14.72,100,1.76
691,73650,36.36,125,2.26
692,73872,-5.46,101,2.18
693,73878,-8.67,101,2.28
694,73944,-3.37,103,2.32
695,73986,-3.78,112,2.2
696,74118,-14.64,100,2.14
697,74400,10.41,125,2.4
698,74478,-5.09,101,2.41
699,74628,36.53,125,3.18
700,74658,-1.46,112,3.18
701,74670,-0.45,121,3.21
702,74718,-12.48,100,3.19
