device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  1760 | step   198672 | reward   102.13 | avg100    46.96 |  101.8 steps/s | 32.5 min
ep  1770 | step   199860 | reward    44.83 | avg100    47.62 |  101.7 steps/s | 32.7 min
ep  1780 | step   200964 | reward    74.79 | avg100    50.65 |  101.8 steps/s | 32.9 min
ep  1790 | step   202266 | reward    10.29 | avg100    52.39 |  101.8 steps/s | 33.1 min
ep  1800 | step   203484 | reward    72.30 | avg100    52.18 |  101.8 steps/s | 33.3 min
ep  1810 | step   204714 | reward    57.09 | avg100    53.58 |  101.8 steps/s | 33.5 min
ep  1820 | step   205866 | reward    43.31 | avg100    56.29 |  101.7 steps/s | 33.7 min
ep  1830 | step   207234 | reward    80.95 | avg100    58.10 |  101.8 steps/s | 33.9 min
ep  1840 | step   208464 | reward    51.42 | avg100    63.09 |  101.8 steps/s | 34.1 min
ep  1850 | step   209616 | reward   108.61 | avg100    67.17 |  101.8 steps/s | 34.3 min
ep  1860 | step   210816 | reward   111.16 | avg100    65.75 |  101.8 steps/s | 34.5 min
ep  1870 | step   211992 | reward    76.83 | avg100    64.00 |  101.7 steps/s | 34.7 min
ep  1880 | step   213180 | reward    36.36 | avg100    65.04 |  101.8 steps/s | 34.9 min
ep  1890 | step   214518 | reward    79.57 | avg100    64.55 |  101.8 steps/s | 35.1 min
ep  1900 | step   215520 | reward   123.83 | avg100    63.46 |  101.8 steps/s | 35.3 min
ep  1910 | step   216726 | reward    -9.61 | avg100    61.81 |  101.8 steps/s | 35.5 min
ep  1920 | step   218016 | reward    52.25 | avg100    59.15 |  101.8 steps/s | 35.7 min
ep  1930 | step   219126 | reward   126.35 | avg100    60.92 |  101.8 steps/s | 35.9 min
ep  1940 | step   220380 | reward    19.45 | avg100    56.14 |  101.8 steps/s | 36.1 min
ep  1950 | step   221658 | reward   -35.70 | avg100    51.34 |  101.8 steps/s | 36.3 min
ep  1960 | step   222582 | reward    -5.26 | avg100    53.25 |  101.8 steps/s | 36.5 min
