device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  8730 | step  1013664 | reward    59.84 | avg100    37.84 |  101.8 steps/s | 166.0 min
ep  8740 | step  1014714 | reward    27.21 | avg100    41.23 |  101.8 steps/s | 166.2 min
ep  8750 | step  1016046 | reward   148.12 | avg100    46.98 |  101.8 steps/s | 166.4 min
ep  8760 | step  1017372 | reward   136.84 | avg100    51.91 |  101.8 steps/s | 166.6 min
ep  8770 | step  1018308 | reward    90.81 | avg100    56.17 |  101.8 steps/s | 166.8 min
ep  8780 | step  1019706 | reward    60.49 | avg100    56.99 |  101.8 steps/s | 167.0 min
ep  8790 | step  1020936 | reward    -6.23 | avg100    64.00 |  101.8 steps/s | 167.2 min
ep  8800 | step  1022058 | reward   111.36 | avg100    65.39 |  101.8 steps/s | 167.4 min
ep  8810 | step  1023222 | reward    81.49 | avg100    65.81 |  101.8 steps/s | 167.6 min
ep  8820 | step  1024656 | reward    20.38 | avg100    71.20 |  101.8 steps/s | 167.8 min
ep  8830 | step  1025808 | reward    41.08 | avg100    72.82 |  101.8 steps/s | 168.0 min
ep  8840 | step  1026822 | reward    64.00 | avg100    71.09 |  101.8 steps/s | 168.2 min
ep  8850 | step  1028106 | reward   -12.31 | avg100    68.12 |  101.8 steps/s | 168.4 min
ep  8860 | step  1029498 | reward   175.86 | avg100    69.85 |  101.8 steps/s | 168.6 min
ep  8870 | step  1030446 | reward     7.09 | avg100    67.50 |  101.8 steps/s | 168.8 min
ep  8880 | step  1031706 | reward   -48.55 | avg100    66.23 |  101.8 steps/s | 169.0 min
ep  8890 | step  1033056 | reward    69.17 | avg100    65.10 |  101.8 steps/s | 169.2 min
ep  8900 | step  1033950 | reward    -5.82 | avg100    63.66 |  101.8 steps/s | 169.3 min
ep  8910 | step  1035312 | reward   160.45 | avg100    65.77 |  101.8 steps/s | 169.6 min
ep  8920 | step  1036632 | reward    65.66 | avg100    67.52 |  101.8 steps/s | 169.8 min
ep  8930 | step  1037586 | reward   154.97 | avg100    66.93 |  101.8 steps/s | 169.9 min
ep  8940 | step  1038942 | reward    30.00 | avg100    68.30 |  101.8 steps/s | 170.1 min
ep  8950 | step  1040382 | reward    51.75 | avg100    72.29 |  101.8 steps/s | 170.4 min
ep  8960 | step  1041324 | reward   165.73 | avg100    73.29 |  101.8 steps/s | 170.6 min
ep  8970 | step  1042686 | reward   101.37 | avg100    75.34 |  101.8 steps/s | 170.8 min
ep  8980 | step  1044036 | reward   172.44 | avg100    81.69 |  101.8 steps/s | 171.0 min
ep  8990 | step  1045038 | reward   131.32 | avg100    82.78 |  101.8 steps/s | 171.2 min
ep  9000 | step  1046298 | reward    49.43 | avg100    87.64 |  101.8 steps/s | 171.4 min
ep  9010 | step  1047660 | reward    80.00 | avg100    87.89 |  101.8 steps/s | 171.6 min
ep  9020 | step  1048548 | reward   142.52 | avg100    88.30 |  101.8 steps/s | 171.7 min
ep  9030 | step  1049916 | reward    50.42 | avg100    83.74 |  101.8 steps/s | 172.0 min
ep  9040 | step  1051182 | reward     4.48 | avg100    86.89 |  101.8 steps/s | 172.2 min
ep  9050 | step  1052202 | reward   122.61 | avg100    81.69 |  101.8 steps/s | 172.3 min
ep  9060 | step  1053546 | reward    31.66 | avg100    75.44 |  101.8 steps/s | 172.6 min
ep  9070 | step  1054530 | reward    45.33 | avg100    73.83 |  101.8 steps/s | 172.7 min
ep  9080 | step  1055916 | reward    28.53 | avg100    71.90 |  101.8 steps/s | 172.9 min
ep  9090 | step  1057116 | reward   -37.36 | avg100    66.21 |  101.8 steps/s | 173.1 min
ep  9100 | step  1058082 | reward    51.29 | avg100    59.23 |  101.8 steps/s | 173.3 min
ep  9110 | step  1059354 | reward    -0.74 | avg100    55.97 |  101.8 steps/s | 173.5 min
ep  9120 | step  1060728 | reward    30.79 | avg100    51.48 |  101.8 steps/s | 173.7 min
ep  9130 | step  1061622 | reward   -20.34 | avg100    53.80 |  101.8 steps/s | 173.9 min
ep  9140 | step  1062888 | reward    68.20 | avg100    49.52 |  101.8 steps/s | 174.1 min
ep  9150 | step  1064286 | reward     1.65 | avg100    50.26 |  101.8 steps/s | 174.3 min
ep  9160 | step  1065372 | reward    10.74 | avg100    52.15 |  101.8 steps/s | 174.5 min
ep  9170 | step  1066554 | reward    36.21 | avg100    53.24 |  101.8 steps/s | 174.7 min
ep  9180 | step  1067856 | reward   -58.04 | avg100    50.81 |  101.8 steps/s | 174.9 min
ep  9190 | step  1069032 | reward   179.72 | avg100    54.30 |  101.8 steps/s | 175.1 min
ep  9200 | step  1070178 | reward   123.83 | avg100    56.35 |  101.8 steps/s | 175.3 min
ep  9210 | step  1071462 | reward   132.08 | avg100    67.54 |  101.8 steps/s | 175.5 min
ep  9220 | step  1072428 | reward   144.30 | avg100    68.61 |  101.8 steps/s | 175.6 min
ep  9230 | step  1073736 | reward    72.76 | avg100    69.74 |  101.8 steps/s | 175.9 min
ep  9240 | step  1075032 | reward    62.50 | avg100    72.14 |  101.7 steps/s | 176.1 min
ep  9250 | step  1076028 | reward    -5.49 | avg100    74.77 |  101.8 steps/s | 176.2 min
ep  9260 | step  1077378 | reward    69.06 | avg100    76.93 |  101.7 steps/s | 176.5 min
ep  9270 | step  1078704 | reward   -20.77 | avg100    77.43 |  101.8 steps/s | 176.7 min
ep  9280 | step  1079712 | reward   142.52 | avg100    80.26 |  101.8 steps/s | 176.9 min
ep  9290 | step  1080954 | reward    31.10 | avg100    80.78 |  101.7 steps/s | 177.1 min
ep  9300 | step  1082250 | reward   137.94 | avg100    80.26 |  101.8 steps/s | 177.3 min
ep  9310 | step  1083276 | reward    42.86 | avg100    73.30 |  101.7 steps/s | 177.5 min
ep  9320 | step  1084608 | reward   126.03 | avg100    78.39 |  101.8 steps/s | 177.6 min
ep  9330 | step  1085892 | reward   -10.92 | avg100    76.35 |  101.7 steps/s | 177.9 min
ep  9340 | step  1087026 | reward   120.78 | avg100    82.80 |  101.7 steps/s | 178.1 min
ep  9350 | step  1088346 | reward     2.93 | avg100    80.04 |  101.8 steps/s | 178.3 min
ep  9360 | step  1089396 | reward    92.43 | avg100    77.33 |  101.7 steps/s | 178.5 min
ep  9370 | step  1090626 | reward    -2.22 | avg100    74.48 |  101.8 steps/s | 178.6 min
ep  9380 | step  1091916 | reward     9.09 | avg100    69.97 |  101.7 steps/s | 178.9 min
ep  9390 | step  1092978 | reward     2.77 | avg100    68.34 |  101.7 steps/s | 179.0 min
ep  9400 | step  1094226 | reward   -41.94 | avg100    67.18 |  101.7 steps/s | 179.2 min
ep  9410 | step  1095384 | reward   -35.06 | avg100    62.40 |  101.7 steps/s | 179.4 min
ep  9420 | step  1096572 | reward   146.71 | avg100    56.86 |  101.8 steps/s | 179.6 min
ep  9430 | step  1097892 | reward   118.31 | avg100    60.56 |  101.7 steps/s | 179.8 min
ep  9440 | step  1098846 | reward    -2.97 | avg100    54.63 |  101.8 steps/s | 180.0 min
ep  9450 | step  1100214 | reward   100.61 | avg100    53.49 |  101.7 steps/s | 180.2 min
ep  9460 | step  1101492 | reward   139.70 | avg100    53.87 |  101.7 steps/s | 180.4 min
ep  9470 | step  1102530 | reward     5.23 | avg100    56.45 |  101.8 steps/s | 180.6 min
ep  9480 | step  1103928 | reward    77.17 | avg100    57.60 |  101.7 steps/s | 180.8 min
ep  9490 | step  1105104 | reward   -60.58 | avg100    56.94 |  101.7 steps/s | 181.0 min
ep  9500 | step  1106250 | reward    20.81 | avg100    58.75 |  101.7 steps/s | 181.2 min
ep  9510 | step  1107438 | reward    56.25 | avg100    58.96 |  101.7 steps/s | 181.4 min
ep  9520 | step  1108488 | reward    32.89 | avg100    58.89 |  101.7 steps/s | 181.6 min
ep  9530 | step  1109778 | reward    -3.51 | avg100    55.81 |  101.7 steps/s | 181.8 min
ep  9540 | step  1111134 | reward   143.70 | avg100    54.56 |  101.7 steps/s | 182.0 min
ep  9550 | step  1112148 | reward    21.31 | avg100    52.66 |  101.7 steps/s | 182.2 min
ep  9560 | step  1113456 | reward    27.60 | avg100    51.02 |  101.7 steps/s | 182.4 min
ep  9570 | step  1114638 | reward    49.81 | avg100    45.41 |  101.8 steps/s | 182.6 min
ep  9580 | step  1115634 | reward    26.35 | avg100    42.37 |  101.7 steps/s | 182.8 min
ep  9590 | step  1116744 | reward    40.68 | avg100    40.78 |  101.8 steps/s | 182.9 min
ep  9600 | step  1117944 | reward     7.52 | avg100    39.23 |  101.7 steps/s | 183.1 min
ep  9610 | step  1119060 | reward     5.92 | avg100    36.07 |  101.7 steps/s | 183.3 min
ep  9620 | step  1120242 | reward   108.05 | avg100    36.40 |  101.8 steps/s | 183.5 min
ep  9630 | step  1121586 | reward    -1.94 | avg100    35.97 |  101.7 steps/s | 183.7 min
ep  9640 | step  1122762 | reward    21.43 | avg100    33.57 |  101.8 steps/s | 183.9 min
ep  9650 | step  1123902 | reward    70.42 | avg100    35.63 |  101.7 steps/s | 184.1 min
ep  9660 | step  1125036 | reward   -12.62 | avg100    33.46 |  101.7 steps/s | 184.3 min
ep  9670 | step  1126158 | reward    22.49 | avg100    35.08 |  101.8 steps/s | 184.5 min
ep  9680 | step  1127502 | reward   143.99 | avg100    42.58 |  101.7 steps/s | 184.7 min
ep  9690 | step  1128786 | reward   138.26 | avg100    46.50 |  101.8 steps/s | 184.9 min
ep  9700 | step  1129752 | reward    33.13 | avg100    44.68 |  101.7 steps/s | 185.1 min
ep  9710 | step  1131072 | reward    68.28 | avg100    50.97 |  101.7 steps/s | 185.3 min
ep  9720 | step  1132386 | reward   -31.56 | avg100    53.10 |  101.8 steps/s | 185.5 min
ep  9730 | step  1133502 | reward   170.49 | avg100    55.12 |  101.7 steps/s | 185.7 min
ep  9740 | step  1134666 | reward   -56.74 | avg100    55.80 |  101.8 steps/s | 185.9 min
ep  9750 | step  1135986 | reward   -54.68 | avg100    57.32 |  101.7 steps/s | 186.1 min
ep  9760 | step  1137072 | reward     8.87 | avg100    61.53 |  101.7 steps/s | 186.3 min
ep  9770 | step  1138350 | reward   -32.38 | avg100    63.80 |  101.8 steps/s | 186.5 min
ep  9780 | step  1139472 | reward   158.18 | avg100    61.92 |  101.7 steps/s | 186.7 min
ep  9790 | step  1140678 | reward   -16.42 | avg100    56.50 |  101.8 steps/s | 186.8 min
ep  9800 | step  1141860 | reward   145.85 | avg100    60.67 |  101.7 steps/s | 187.0 min
ep  9810 | step  1143030 | reward    93.88 | avg100    58.44 |  101.7 steps/s | 187.2 min
ep  9820 | step  1144188 | reward   154.13 | avg100    54.77 |  101.7 steps/s | 187.4 min
ep  9830 | step  1145412 | reward    23.71 | avg100    51.23 |  101.7 steps/s | 187.6 min
ep  9840 | step  1146462 | reward   221.03 | avg100    50.09 |  101.8 steps/s | 187.8 min
ep  9850 | step  1147596 | reward     8.12 | avg100    46.88 |  101.7 steps/s | 188.0 min
ep  9860 | step  1148850 | reward   -19.46 | avg100    46.73 |  101.8 steps/s | 188.2 min
ep  9870 | step  1149960 | reward     2.46 | avg100    43.09 |  101.7 steps/s | 188.4 min
ep  9880 | step  1151148 | reward   -31.46 | avg100    37.70 |  101.7 steps/s | 188.6 min
ep  9890 | step  1152234 | reward   108.03 | avg100    42.85 |  101.8 steps/s | 188.7 min
ep  9900 | step  1153482 | reward   -23.09 | avg100    39.91 |  101.7 steps/s | 189.0 min
ep  9910 | step  1154694 | reward    27.70 | avg100    40.08 |  101.8 steps/s | 189.1 min
ep  9920 | step  1155654 | reward   -16.09 | avg100    37.48 |  101.7 steps/s | 189.3 min
ep  9930 | step  1156926 | reward    72.64 | avg100    38.00 |  101.7 steps/s | 189.5 min
ep  9940 | step  1158090 | reward    -8.39 | avg100    37.46 |  101.8 steps/s | 189.7 min
ep  9950 | step  1159116 | reward   121.84 | avg100    38.57 |  101.7 steps/s | 189.9 min
ep  9960 | step  1160220 | reward   147.52 | avg100    34.18 |  101.8 steps/s | 190.0 min
ep  9970 | step  1161534 | reward   181.88 | avg100    36.98 |  101.8 steps/s | 190.3 min
ep  9980 | step  1162596 | reward   105.21 | avg100    40.57 |  101.8 steps/s | 190.4 min
ep  9990 | step  1163784 | reward    72.30 | avg100    36.20 |  101.8 steps/s | 190.6 min
ep 10000 | step  1164858 | reward    -3.41 | avg100    38.31 |  101.7 steps/s | 190.8 min
ep 10010 | step  1166058 | reward    -4.04 | avg100    34.83 |  101.8 steps/s | 191.0 min
ep 10020 | step  1167336 | reward    -3.17 | avg100    36.67 |  101.7 steps/s | 191.2 min
ep 10030 | step  1168266 | reward     9.31 | avg100    34.93 |  101.8 steps/s | 191.3 min
ep 10040 | step  1169502 | reward    14.84 | avg100    35.56 |  101.8 steps/s | 191.6 min
ep 10050 | step  1170738 | reward    55.37 | avg100    34.49 |  101.8 steps/s | 191.7 min
ep 10060 | step  1171608 | reward    -7.41 | avg100    32.86 |  101.8 steps/s | 191.9 min
ep 10070 | step  1172910 | reward   -17.88 | avg100    30.45 |  101.7 steps/s | 192.1 min
ep 10080 | step  1174038 | reward    95.58 | avg100    26.84 |  101.8 steps/s | 192.3 min
ep 10090 | step  1175208 | reward   100.00 | avg100    27.81 |  101.8 steps/s | 192.5 min
ep 10100 | step  1176354 | reward     9.42 | avg100    20.66 |  101.8 steps/s | 192.7 min
ep 10110 | step  1177458 | reward    16.28 | avg100    24.32 |  101.8 steps/s | 192.9 min
ep 10120 | step  1178568 | reward    11.74 | avg100    22.46 |  101.8 steps/s | 193.0 min
ep 10130 | step  1179666 | reward    45.11 | avg100    21.92 |  101.8 steps/s | 193.2 min
ep 10140 | step  1180728 | reward    38.58 | avg100    21.07 |  101.8 steps/s | 193.4 min
ep 10150 | step  1181910 | reward   -10.16 | avg100    19.18 |  101.8 steps/s | 193.6 min
ep 10160 | step  1183110 | reward   -44.21 | avg100    19.81 |  101.8 steps/s | 193.8 min
ep 10170 | step  1184178 | reward    -5.71 | avg100    16.36 |  101.8 steps/s | 193.9 min
ep 10180 | step  1185084 | reward    50.68 | avg100    15.41 |  101.8 steps/s | 194.1 min
ep 10190 | step  1186164 | reward    16.08 | avg100    11.51 |  101.8 steps/s | 194.3 min
ep 10200 | step  1187418 | reward   -17.13 | avg100    13.92 |  101.8 steps/s | 194.5 min
ep 10210 | step  1188618 | reward    -9.12 | avg100     9.98 |  101.8 steps/s | 194.6 min
ep 10220 | step  1189518 | reward   -24.44 | avg100    11.60 |  101.8 steps/s | 194.8 min
ep 10230 | step  1190694 | reward   -20.91 | avg100     8.63 |  101.8 steps/s | 195.0 min
ep 10240 | step  1191762 | reward    -5.53 | avg100     6.18 |  101.8 steps/s | 195.2 min
ep 10250 | step  1192764 | reward    13.67 | avg100     9.43 |  101.8 steps/s | 195.3 min
ep 10260 | step  1193970 | reward   -15.22 | avg100     7.62 |  101.8 steps/s | 195.5 min
ep 10270 | step  1195086 | reward    59.09 | avg100     9.92 |  101.8 steps/s | 195.7 min
ep 10280 | step  1196292 | reward    25.31 | avg100    11.07 |  101.8 steps/s | 195.9 min
ep 10290 | step  1197468 | reward     0.81 | avg100    13.29 |  101.8 steps/s | 196.1 min
ep 10300 | step  1198434 | reward   101.30 | avg100    14.64 |  101.8 steps/s | 196.3 min
ep 10310 | step  1199634 | reward   -50.00 | avg100    11.78 |  101.8 steps/s | 196.5 min
ep 10320 | step  1200804 | reward   -10.60 | avg100    11.04 |  101.8 steps/s | 196.7 min
ep 10330 | step  1201770 | reward    23.60 | avg100    15.21 |  101.8 steps/s | 196.8 min
ep 10340 | step  1203102 | reward    92.05 | avg100    16.13 |  101.8 steps/s | 197.0 min
ep 10350 | step  1204254 | reward   -51.57 | avg100    13.98 |  101.8 steps/s | 197.2 min
ep 10360 | step  1205250 | reward    13.71 | avg100    15.90 |  101.8 steps/s | 197.4 min
ep 10370 | step  1206468 | reward    89.29 | avg100    15.22 |  101.8 steps/s | 197.6 min
ep 10380 | step  1207686 | reward   -51.90 | avg100    15.56 |  101.8 steps/s | 197.8 min
ep 10390 | step  1208706 | reward   -13.82 | avg100    15.13 |  101.8 steps/s | 197.9 min
ep 10400 | step  1209990 | reward   -41.81 | avg100    15.27 |  101.8 steps/s | 198.2 min
ep 10410 | step  1211070 | reward    43.36 | avg100    20.07 |  101.8 steps/s | 198.3 min
ep 10420 | step  1212342 | reward    34.80 | avg100    25.53 |  101.8 steps/s | 198.5 min
ep 10430 | step  1213590 | reward    44.04 | avg100    30.64 |  101.8 steps/s | 198.8 min
ep 10440 | step  1214682 | reward    -4.68 | avg100    34.13 |  101.8 steps/s | 198.9 min
ep 10450 | step  1215948 | reward    25.32 | avg100    39.72 |  101.8 steps/s | 199.1 min
ep 10460 | step  1217196 | reward   114.29 | avg100    42.05 |  101.8 steps/s | 199.4 min
ep 10470 | step  1218246 | reward    34.15 | avg100    46.68 |  101.8 steps/s | 199.5 min
ep 10480 | step  1219632 | reward    37.32 | avg100    52.57 |  101.8 steps/s | 199.7 min
ep 10490 | step  1220796 | reward    70.00 | avg100    59.41 |  101.8 steps/s | 199.9 min
ep 10500 | step  1221984 | reward   172.39 | avg100    61.84 |  101.8 steps/s | 200.1 min
ep 10510 | step  1223352 | reward    91.13 | avg100    65.83 |  101.8 steps/s | 200.4 min
ep 10520 | step  1224546 | reward    59.57 | avg100    65.72 |  101.8 steps/s | 200.5 min
ep 10530 | step  1225602 | reward    45.42 | avg100    64.63 |  101.8 steps/s | 200.7 min
ep 10540 | step  1226940 | reward   -27.37 | avg100    64.80 |  101.8 steps/s | 201.0 min
ep 10550 | step  1228146 | reward   152.63 | avg100    64.79 |  101.8 steps/s | 201.1 min
ep 10560 | step  1229238 | reward    93.88 | avg100    66.80 |  101.8 steps/s | 201.3 min
ep 10570 | step  1230390 | reward    28.11 | avg100    63.82 |  101.8 steps/s | 201.5 min
ep 10580 | step  1231608 | reward    42.86 | avg100    61.16 |  101.8 steps/s | 201.7 min
ep 10590 | step  1232790 | reward    27.04 | avg100    57.09 |  101.8 steps/s | 201.9 min
ep 10600 | step  1234032 | reward   -15.64 | avg100    58.32 |  101.8 steps/s | 202.1 min
ep 10610 | step  1235154 | reward    -2.45 | avg100    56.89 |  101.8 steps/s | 202.3 min
ep 10620 | step  1236348 | reward    73.77 | avg100    56.91 |  101.8 steps/s | 202.5 min
ep 10630 | step  1237602 | reward   137.46 | avg100    54.00 |  101.8 steps/s | 202.7 min
ep 10640 | step  1238832 | reward   113.77 | avg100    54.56 |  101.8 steps/s | 202.9 min
ep 10650 | step  1239906 | reward    92.81 | avg100    53.39 |  101.8 steps/s | 203.1 min
ep 10660 | step  1241142 | reward   102.70 | avg100    51.58 |  101.8 steps/s | 203.3 min
ep 10670 | step  1242438 | reward   107.79 | avg100    55.74 |  101.8 steps/s | 203.5 min
ep 10680 | step  1243656 | reward   143.99 | avg100    56.91 |  101.8 steps/s | 203.7 min
ep 10690 | step  1244670 | reward    57.23 | avg100    56.22 |  101.8 steps/s | 203.8 min
ep 10700 | step  1245894 | reward    22.87 | avg100    53.32 |  101.8 steps/s | 204.1 min
ep 10710 | step  1247268 | reward   102.25 | avg100    52.40 |  101.8 steps/s | 204.3 min
ep 10720 | step  1248168 | reward    96.61 | avg100    51.88 |  101.8 steps/s | 204.4 min
ep 10730 | step  1249518 | reward    11.48 | avg100    53.85 |  101.8 steps/s | 204.7 min
ep 10740 | step  1250868 | reward   107.14 | avg100    53.75 |  101.8 steps/s | 204.9 min
ep 10750 | step  1251792 | reward    59.86 | avg100    52.72 |  101.8 steps/s | 205.0 min
ep 10760 | step  1253040 | reward    98.65 | avg100    54.30 |  101.8 steps/s | 205.2 min
ep 10770 | step  1254306 | reward    17.10 | avg100    50.01 |  101.8 steps/s | 205.4 min
ep 10780 | step  1255386 | reward    88.81 | avg100    49.59 |  101.8 steps/s | 205.6 min
ep 10790 | step  1256604 | reward   -12.80 | avg100    51.41 |  101.8 steps/s | 205.8 min
ep 10800 | step  1257948 | reward    54.27 | avg100    50.81 |  101.8 steps/s | 206.0 min
ep 10810 | step  1258968 | reward    37.95 | avg100    50.77 |  101.8 steps/s | 206.2 min
ep 10820 | step  1260246 | reward   180.30 | avg100    48.04 |  101.8 steps/s | 206.4 min
ep 10830 | step  1261482 | reward   -26.61 | avg100    47.24 |  101.8 steps/s | 206.6 min
ep 10840 | step  1262568 | reward     9.63 | avg100    45.67 |  101.8 steps/s | 206.8 min
ep 10850 | step  1263756 | reward     6.70 | avg100    44.70 |  101.8 steps/s | 207.0 min
ep 10860 | step  1265070 | reward   158.39 | avg100    46.53 |  101.8 steps/s | 207.2 min
ep 10870 | step  1266306 | reward    93.77 | avg100    52.38 |  101.8 steps/s | 207.4 min
ep 10880 | step  1267320 | reward    39.96 | avg100    50.48 |  101.8 steps/s | 207.6 min
ep 10890 | step  1268652 | reward   170.59 | avg100    50.34 |  101.8 steps/s | 207.8 min
ep 10900 | step  1270038 | reward    10.14 | avg100    58.00 |  101.8 steps/s | 208.0 min
ep 10910 | step  1271058 | reward    65.66 | avg100    64.97 |  101.8 steps/s | 208.2 min
ep 10920 | step  1272192 | reward   -56.59 | avg100    65.53 |  101.8 steps/s | 208.3 min
ep 10930 | step  1273440 | reward   -52.79 | avg100    67.53 |  101.8 steps/s | 208.6 min
ep 10940 | step  1274760 | reward     0.84 | avg100    70.97 |  101.8 steps/s | 208.8 min
ep 10950 | step  1275816 | reward   124.42 | avg100    77.40 |  101.8 steps/s | 208.9 min
ep 10960 | step  1277190 | reward   209.03 | avg100    80.85 |  101.8 steps/s | 209.2 min
ep 10970 | step  1278402 | reward    -3.57 | avg100    79.86 |  101.8 steps/s | 209.4 min
ep 10980 | step  1279566 | reward   155.10 | avg100    83.68 |  101.8 steps/s | 209.6 min
ep 10990 | step  1280760 | reward    27.73 | avg100    88.54 |  101.8 steps/s | 209.8 min
ep 11000 | step  1281990 | reward   107.46 | avg100    82.36 |  101.8 steps/s | 210.0 min
ep 11010 | step  1283316 | reward   200.33 | avg100    79.48 |  101.8 steps/s | 210.2 min
ep 11020 | step  1284336 | reward    65.41 | avg100    84.49 |  101.8 steps/s | 210.3 min
ep 11030 | step  1285656 | reward   132.08 | avg100    86.96 |  101.8 steps/s | 210.6 min
ep 11040 | step  1286790 | reward    -2.39 | avg100    85.52 |  101.8 steps/s | 210.8 min
ep 11050 | step  1287936 | reward   193.68 | avg100    85.89 |  101.8 steps/s | 210.9 min
ep 11060 | step  1289244 | reward   -51.60 | avg100    81.44 |  101.8 steps/s | 211.2 min
ep 11070 | step  1290384 | reward   234.57 | avg100    82.08 |  101.8 steps/s | 211.3 min
ep 11080 | step  1291542 | reward   -46.54 | avg100    81.02 |  101.8 steps/s | 211.5 min
ep 11090 | step  1292934 | reward   168.82 | avg100    83.21 |  101.8 steps/s | 211.8 min
ep 11100 | step  1293984 | reward   144.65 | avg100    88.65 |  101.8 steps/s | 211.9 min
ep 11110 | step  1295244 | reward    94.54 | avg100    89.25 |  101.8 steps/s | 212.1 min
ep 11120 | step  1296612 | reward   111.68 | avg100    90.95 |  101.8 steps/s | 212.3 min
ep 11130 | step  1297650 | reward   129.24 | avg100    93.75 |  101.8 steps/s | 212.5 min
ep 11140 | step  1298862 | reward    82.41 | avg100    95.00 |  101.8 steps/s | 212.7 min
ep 11150 | step  1300056 | reward   162.80 | avg100    94.17 |  101.8 steps/s | 212.9 min
ep 11160 | step  1301400 | reward   123.88 | avg100    93.55 |  101.8 steps/s | 213.2 min
ep 11170 | step  1302480 | reward   126.11 | avg100    94.17 |  101.8 steps/s | 213.3 min
ep 11180 | step  1303728 | reward     2.99 | avg100    92.27 |  101.8 steps/s | 213.5 min
ep 11190 | step  1304982 | reward   187.20 | avg100    89.16 |  101.8 steps/s | 213.7 min
ep 11200 | step  1306188 | reward    24.14 | avg100    87.27 |  101.8 steps/s | 213.9 min
ep 11210 | step  1307364 | reward    -1.18 | avg100    83.12 |  101.8 steps/s | 214.1 min
ep 11220 | step  1308474 | reward    18.47 | avg100    76.30 |  101.8 steps/s | 214.3 min
ep 11230 | step  1309722 | reward   151.68 | avg100    70.33 |  101.8 steps/s | 214.5 min
ep 11240 | step  1311006 | reward   101.49 | avg100    72.55 |  101.8 steps/s | 214.7 min
ep 11250 | step  1312044 | reward    10.30 | avg100    73.82 |  101.8 steps/s | 214.9 min
ep 11260 | step  1313364 | reward   147.39 | avg100    79.31 |  101.8 steps/s | 215.1 min
ep 11270 | step  1314594 | reward    47.37 | avg100    75.29 |  101.8 steps/s | 215.3 min
ep 11280 | step  1315788 | reward     5.53 | avg100    78.02 |  101.8 steps/s | 215.5 min
ep 11290 | step  1316844 | reward   150.00 | avg100    74.70 |  101.8 steps/s | 215.7 min
ep 11300 | step  1317978 | reward     4.03 | avg100    73.63 |  101.8 steps/s | 215.9 min
ep 11310 | step  1319328 | reward   104.27 | avg100    74.60 |  101.8 steps/s | 216.1 min
ep 11320 | step  1320480 | reward     1.28 | avg100    78.37 |  101.8 steps/s | 216.3 min
ep 11330 | step  1321620 | reward    27.46 | avg100    77.15 |  101.8 steps/s | 216.5 min
ep 11340 | step  1322904 | reward    -3.89 | avg100    77.11 |  101.8 steps/s | 216.7 min
ep 11350 | step  1324170 | reward   144.07 | avg100    75.34 |  101.8 steps/s | 216.9 min
ep 11360 | step  1325220 | reward   -30.88 | avg100    71.76 |  101.8 steps/s | 217.1 min
ep 11370 | step  1326462 | reward   163.89 | avg100    71.31 |  101.8 steps/s | 217.2 min
ep 11380 | step  1327770 | reward    56.55 | avg100    70.68 |  101.8 steps/s | 217.5 min
ep 11390 | step  1328826 | reward    89.02 | avg100    75.79 |  101.8 steps/s | 217.7 min
ep 11400 | step  1330140 | reward   141.88 | avg100    72.41 |  101.8 steps/s | 217.9 min
ep 11410 | step  1331352 | reward   165.15 | avg100    80.45 |  101.8 steps/s | 218.1 min
ep 11420 | step  1332576 | reward   131.83 | avg100    82.53 |  101.8 steps/s | 218.2 min
ep 11430 | step  1333800 | reward   150.00 | avg100    88.36 |  101.8 steps/s | 218.5 min
ep 11440 | step  1334952 | reward   -18.46 | avg100    88.19 |  101.8 steps/s | 218.7 min
ep 11450 | step  1336152 | reward   -11.27 | avg100    86.65 |  101.8 steps/s | 218.8 min
ep 11460 | step  1337448 | reward   128.68 | avg100    85.97 |  101.8 steps/s | 219.1 min
ep 11470 | step  1338432 | reward    90.94 | avg100    91.94 |  101.8 steps/s | 219.2 min
ep 11480 | step  1339788 | reward    42.86 | avg100    93.05 |  101.8 steps/s | 219.4 min
ep 11490 | step  1341138 | reward   -36.69 | avg100    91.46 |  101.8 steps/s | 219.7 min
ep 11500 | step  1341942 | reward     0.24 | avg100    93.83 |  101.8 steps/s | 219.8 min
ep 11510 | step  1343334 | reward    -0.91 | avg100    87.86 |  101.8 steps/s | 220.0 min
ep 11520 | step  1344708 | reward   142.11 | avg100    88.57 |  101.7 steps/s | 220.3 min
ep 11530 | step  1345602 | reward    39.61 | avg100    89.11 |  101.8 steps/s | 220.4 min
ep 11540 | step  1347066 | reward   152.40 | avg100    91.00 |  101.8 steps/s | 220.6 min
ep 11550 | step  1348350 | reward    89.37 | avg100    93.64 |  101.8 steps/s | 220.8 min
ep 11560 | step  1349334 | reward   141.61 | avg100    93.52 |  101.8 steps/s | 221.0 min
ep 11570 | step  1350684 | reward   139.34 | avg100    93.40 |  101.7 steps/s | 221.2 min
ep 11580 | step  1352010 | reward   168.14 | avg100    92.02 |  101.8 steps/s | 221.4 min
ep 11590 | step  1353066 | reward    27.74 | avg100    90.61 |  101.7 steps/s | 221.6 min
ep 11600 | step  1354434 | reward    79.64 | avg100    90.90 |  101.8 steps/s | 221.8 min
